,v202401.1.1,v202401.2.1
Erzeugungsart,🟢,🟢
Gasqualitaet,🟢,🟢
Gebiettyp,🟢,🟢
Geraeteklasse,🟢,🟢
Geraetetyp,🟢,🟢
Geschaeftspartnerrolle,🟢,🟢
Gueltigkeitstyp,🟢,🟢
Kalkulationsmethode,🟢,🟢
Kontaktart,🔴,🟢
Kostenklasse,🟢,🟢
Kundengruppe,🟢,🟢
KundengruppeKA,🟢,🟢
Kundentyp,🟢,🟢
Landescode,🟢,🟢
Leistungstyp,🟢,🟢
Lokationstyp,🟢,🟢
Marktrolle,🔴,🟢
Medium,🟢,🟢
Mengeneinheit,🟢,🟡
Mengenoperator,🟢,🟢
Messart,🟢,🟢
Messgroesse,🟢,🟢
Messpreistyp,🟢,🟢
Messwerterfassung,🟢,🟢
Messwertstatus,🟢,🟢
Messwertstatuszusatz,🟢,🟢
Netzebene,🟢,🟢
NetznutzungRechnungsart,🟢,🟢
NetznutzungRechnungstyp,🟢,🟢
Oekolabel,🟢,🟢
Oekozertifikat,🟢,🟢
Organisationstyp,➕,🟢
Preisgarantietyp,🟢,🟢
Preismodell,🟢,🟢
Preisstatus,🟢,🟢
Preistyp,🟢,🟢
Rechnungslegung,🟢,🟢
Rechnungsstatus,🟢,🟢
Rechnungstyp,🟢,🟢
Regionskriteriumtyp,🟢,🟢
Registeranzahl,🟢,🟢
Rollencodetyp,🟢,🟢
Rufnummernart,➖,\-
Sparte,🟢,🟢
Steuerkennzeichen,🟢,🟢
Tarifkalkulationsmethode,🟢,🟢
Tarifmerkmal,🟢,🟢
Tarifregionskriterium,🟢,🟢
Tariftyp,🟢,🟢
Tarifzeit,🟢,🟢
Themengebiet,🟡,🟢
Titel,🟢,🟢
Typ,🔴,🟢
Verbrauchsart,🟢,🟢
Vertragsart,🟢,🟢
Vertragsform,🟢,🟢
Vertragsstatus,🟢,🟢
Verwendungszweck,🟢,🟢
Voraussetzungen,🟢,🟢
Waehrungscode,🟢,🟢
Waehrungseinheit,🟢,🟢
Waermenutzung,🟢,🟢
Wertermittlungsverfahren,🟢,🟢
Zaehlerauspraegung,🟢,🟢
Zaehlergroesse,🟢,🟢
Zaehlertyp,🟢,🟢
ZaehlertypSpezifikation,🟢,🟢
ZusatzAttribut,🟢,🟢
